Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Pch_Haswell,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15
2024-04-17_18:52:37,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,43.9,43.9,67.0,874.7,800.0,800.0,800.0,800.0,800.0,800.0,1995.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,6.5,0.0,0.0,4.2,4.2,0.0,0.0,90.5,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17_18:52:39,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.9,43.9,67.0,823.1,800.0,800.0,800.0,800.0,800.0,800.0,1169.6,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.9,3.4,0.5,0.0,0.0,0.0,3.0,3.9,2.5,1.5,2.0,0.5,5.9,0.5,2.0,4.9,0.5
2024-04-17_18:52:41,44.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,43.9,43.9,67.0,799.9,800.0,800.0,800.0,800.0,800.0,800.0,798.2,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.2,1.0,1.5,1.0,0.5,1.5,0.5,3.9,0.5,4.4,1.0,0.0,11.2,1.0,2.0,3.9,0.5
2024-04-17_18:52:43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.9,43.9,67.0,1027.8,1700.0,1700.0,1600.0,800.0,800.0,1700.0,945.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.3,2.5,0.5,1.0,1.0,1.5,1.5,3.9,1.0,2.0,0.0,0.0,1.0,0.5,0.0,4.4,0.5
2024-04-17_18:52:45,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.9,43.9,67.0,807.9,800.0,800.0,800.0,800.0,800.0,800.0,925.9,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.8,2.5,0.5,5.4,1.0,0.0,0.5,3.4,0.5,3.4,1.5,0.0,0.0,0.5,0.0,4.9,5.8
2024-04-17_18:52:47,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.9,43.9,67.0,935.3,800.0,800.0,1700.0,800.0,800.0,1700.0,1164.8,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.1,2.0,2.5,0.5,1.5,0.5,1.5,3.5,5.9,1.5,1.5,0.5,1.5,0.0,0.0,5.4,4.0
2024-04-17_18:52:49,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,43.9,43.9,67.0,860.8,800.0,800.0,800.0,800.0,800.0,800.0,1773.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.7,0.0,1.5,0.0,0.5,1.5,0.0,22.1,1.5,1.0,0.5,1.0,5.9,0.0,1.5,5.9,0.5
2024-04-17_18:52:51,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.0,997.5,800.0,800.0,800.0,800.0,1800.0,800.0,1159.7,800.0,800.0,800.0,800.0,800.0,2600.0,800.0,800.0,800.0,17.2,18.6,32.5,16.2,16.2,17.3,7.4,14.3,29.1,14.4,4.9,5.4,7.4,23.6,44.1,16.0,7.9
2024-04-17_18:52:53,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.0,799.9,800.0,800.0,800.0,800.0,800.0,800.0,798.2,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.4,2.0,0.5,1.0,1.0,0.0,0.5,5.9,11.3,1.0,0.0,2.5,2.0,5.0,1.5,4.4,0.0
2024-04-17_18:52:55,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,43.9,43.9,67.0,1150.6,800.0,800.0,800.0,800.0,1501.8,1995.3,1692.1,1800.0,1496.5,800.0,800.0,800.0,800.0,800.0,800.0,1923.3,7.3,2.0,6.4,11.3,9.4,9.4,15.8,10.8,2.5,8.4,2.5,4.0,11.9,11.4,2.5,4.0,4.9
2024-04-17_18:52:57,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,43.9,43.9,68.5,1655.9,800.0,1995.3,1001.7,1995.3,1445.5,1900.0,1365.7,1995.3,2346.8,2600.0,900.0,2600.0,800.0,2200.0,1550.0,800.0,38.4,5.9,41.5,5.9,39.1,44.3,64.6,44.3,48.3,97.0,34.3,46.1,42.6,30.8,22.2,20.3,27.3
2024-04-17_18:52:59,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.9,43.9,68.5,1166.2,1100.0,1962.3,800.0,1400.0,900.0,900.0,800.0,800.0,1995.3,1995.3,1202.3,800.0,1059.7,800.0,798.1,1200.0,28.9,20.5,55.1,14.3,33.3,30.2,40.3,14.1,30.1,40.8,39.1,22.3,18.1,12.2,30.2,39.2,22.3
2024-04-17_18:53:01,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,43.9,43.9,68.5,1228.9,2314.6,800.0,2400.0,1800.0,800.0,800.0,800.0,800.0,800.0,1000.0,800.0,1000.0,800.0,800.0,1995.3,1952.4,21.5,5.5,6.4,15.8,19.4,9.4,19.3,11.9,12.3,57.1,53.4,9.8,15.2,8.5,35.1,38.6,23.8
2024-04-17_18:53:03,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,42.9,42.9,69.0,1299.3,800.0,1900.0,1900.0,1800.0,800.0,1558.7,1800.0,800.0,1857.3,800.0,800.0,1800.0,1800.0,2600.0,1700.0,1305.0,26.7,21.3,13.4,28.5,19.1,17.2,43.9,3.4,22.2,7.3,41.2,5.4,22.2,44.4,53.7,54.9,30.2
